100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,sensor_mode,mask_design_en,cfa_color_ord,flyby_in_crop_en,flyby_in_top_crop_num,flyby_in_down_crop_num,flyby_in_left_crop_num,flyby_in_right_crop_num,tr_first_tile_width,tr_first_tile_height,out_line_offset,out_line_num,RawHsize,RawVsize,SrcHbase,SrcVbase,SrcHsize,SrcVsize,DestHsize,DestVsize,,,,,,,,
pattern_00001,2,0,0,0,1,1,1,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112,,,,,,,,
pattern_00002,2,0,1,0,1,1,1,1,31,31,31,31,1280,2112,0,0,32,32,32,32,,,,,,,,
pattern_00003,2,0,0,0,0,0,0,0,855,411,855,411,1280,2112,0,0,856,412,856,412,,,,,,,,
pattern_00004,2,0,1,0,0,0,0,0,267,1421,267,1421,1280,2112,0,0,268,1422,268,1422,,,,,,,,
pattern_00005,2,0,2,0,0,0,0,0,1039,921,1039,921,1280,2112,0,0,1040,922,1040,922,,,,,,,,
pattern_00006,2,0,3,0,0,0,0,0,975,1543,975,1543,1280,2112,0,0,976,1544,976,1544,,,,,,,,
pattern_00007,2,0,0,0,0,0,0,0,435,1973,435,1973,1280,2112,0,0,436,1974,436,1974,,,,,,,,
pattern_00008,2,0,1,0,0,0,0,0,1043,1061,1043,1061,1280,2112,0,0,1044,1062,1044,1062,,,,,,,,
pattern_00009,2,0,2,0,0,0,0,0,1011,1251,1011,1251,1280,2112,0,0,1012,1252,1012,1252,,,,,,,,
pattern_00010,2,0,3,0,0,0,0,0,127,247,127,247,1280,2112,0,0,128,248,128,248,,,,,,,,
pattern_00011,2,0,0,0,0,0,0,0,331,1727,331,1727,1280,2112,0,0,332,1728,332,1728,,,,,,,,
pattern_00012,2,0,1,0,0,0,0,0,1223,619,1223,619,1280,2112,0,0,1224,620,1224,620,,,,,,,,
pattern_00013,2,0,2,0,0,0,0,0,735,1721,735,1721,1280,2112,0,0,736,1722,736,1722,,,,,,,,
pattern_00014,2,0,3,0,0,0,0,0,995,1191,995,1191,1280,2112,0,0,996,1192,996,1192,,,,,,,,
pattern_00015,2,0,0,0,0,0,0,0,223,483,223,483,1280,2112,0,0,224,484,224,484,,,,,,,,
pattern_00016,2,0,1,0,0,0,0,0,555,1077,555,1077,1280,2112,0,0,556,1078,556,1078,,,,,,,,
pattern_00017,2,0,2,0,0,0,0,0,835,1587,835,1587,1280,2112,0,0,836,1588,836,1588,,,,,,,,
pattern_00018,2,0,3,0,0,0,0,0,551,1307,551,1307,1280,2112,0,0,552,1308,552,1308,,,,,,,,
pattern_00019,2,0,0,0,0,0,0,0,899,675,899,675,1280,2112,0,0,900,676,900,676,,,,,,,,
pattern_00020,2,0,1,0,0,0,0,0,891,1865,891,1865,1280,2112,0,0,892,1866,892,1866,,,,,,,,
pattern_00021,2,0,2,0,0,0,0,0,1051,1877,1051,1877,1280,2112,0,0,1052,1878,1052,1878,,,,,,,,
pattern_00022,2,0,3,0,0,0,0,0,415,99,415,99,1280,2112,0,0,416,100,416,100,,,,,,,,
pattern_00023,2,0,0,0,0,0,0,0,387,1687,387,1687,1280,2112,0,0,388,1688,388,1688,,,,,,,,
pattern_00024,2,0,1,0,0,0,0,0,847,959,847,959,1280,2112,0,0,848,960,848,960,,,,,,,,
pattern_00025,2,0,2,0,0,0,0,0,599,1517,599,1517,1280,2112,0,0,600,1518,600,1518,,,,,,,,
pattern_00026,2,0,3,0,0,0,0,0,55,1941,55,1941,1280,2112,0,0,56,1942,56,1942,,,,,,,,
pattern_00027,2,0,0,0,0,0,0,0,427,1969,427,1969,1280,2112,0,0,428,1970,428,1970,,,,,,,,
pattern_00028,2,0,1,0,0,0,0,0,1175,299,1175,299,1280,2112,0,0,1176,300,1176,300,,,,,,,,
pattern_00029,2,0,2,0,0,0,0,0,883,1107,883,1107,1280,2112,0,0,884,1108,884,1108,,,,,,,,
pattern_00030,2,0,3,0,0,0,0,0,191,1349,191,1349,1280,2112,0,0,192,1350,192,1350,,,,,,,,
pattern_00031,2,0,0,0,0,0,0,0,967,469,967,469,1280,2112,0,0,968,470,968,470,,,,,,,,
pattern_00032,2,0,1,0,0,0,0,0,1151,179,1151,179,1280,2112,0,0,1152,180,1152,180,,,,,,,,
pattern_00033,2,0,2,0,0,0,0,0,747,1417,747,1417,1280,2112,0,0,748,1418,748,1418,,,,,,,,
pattern_00034,2,0,3,0,0,0,0,0,1087,1213,1087,1213,1280,2112,0,0,1088,1214,1088,1214,,,,,,,,
pattern_00035,2,0,0,0,0,0,0,0,431,55,431,55,1280,2112,0,0,432,56,432,56,,,,,,,,
pattern_00036,2,0,1,0,0,0,0,0,751,1933,751,1933,1280,2112,0,0,752,1934,752,1934,,,,,,,,
pattern_00037,2,0,2,0,0,0,0,0,711,1075,711,1075,1280,2112,0,0,712,1076,712,1076,,,,,,,,
pattern_00038,2,0,3,0,0,0,0,0,155,125,155,125,1280,2112,0,0,156,126,156,126,,,,,,,,
pattern_00039,2,0,0,0,0,0,0,0,1075,1975,1075,1975,1280,2112,0,0,1076,1976,1076,1976,,,,,,,,
pattern_00040,2,0,1,0,0,0,0,0,611,1529,611,1529,1280,2112,0,0,612,1530,612,1530,,,,,,,,
pattern_00041,2,0,2,1,212,316,488,272,1091,947,1091,947,1280,2112,0,0,1092,948,332,420,,,,,,,,
pattern_00042,2,0,3,1,30,30,484,216,1075,145,1075,145,1280,2112,0,0,1076,146,376,86,,,,,,,,
pattern_00043,2,0,0,1,94,380,184,544,1131,2073,1131,2073,1280,2112,0,0,1132,2074,404,1600,,,,,,,,
pattern_00044,2,0,1,1,872,820,232,80,615,1883,615,1883,1280,2112,0,0,616,1884,304,192,,,,,,,,
pattern_00045,2,0,2,1,330,180,32,40,267,1145,267,1145,1280,2112,0,0,268,1146,196,636,,,,,,,,
pattern_00046,2,0,3,1,742,528,56,112,259,1713,259,1713,1280,2112,0,0,260,1714,92,444,,,,,,,,
pattern_00047,2,0,0,1,8,84,16,16,51,205,51,205,1280,2112,0,0,52,206,20,114,,,,,,,,
pattern_00048,2,0,1,1,60,58,104,112,731,187,731,187,1280,2112,0,0,732,188,516,70,,,,,,,,
pattern_00049,2,0,2,1,498,308,120,64,343,1879,343,1879,1280,2112,0,0,344,1880,160,1074,,,,,,,,
pattern_00050,2,0,3,1,522,72,168,72,979,1299,979,1299,1280,2112,0,0,980,1300,740,706,,,,,,,,
pattern_00051,2,0,0,1,122,160,264,584,1195,815,1195,815,1280,2112,0,0,1196,816,348,534,,,,,,,,
pattern_00052,2,0,1,1,288,120,56,24,123,629,123,629,1280,2112,0,0,124,630,44,222,,,,,,,,
pattern_00053,2,0,2,1,260,396,24,392,1251,893,1251,893,1280,2112,0,0,1252,894,836,238,,,,,,,,
pattern_00054,2,0,3,1,248,230,16,32,195,695,195,695,1280,2112,0,0,196,696,148,218,,,,,,,,
pattern_00055,2,0,0,1,672,444,136,96,383,1373,383,1373,1280,2112,0,0,384,1374,152,258,,,,,,,,
pattern_00056,2,0,1,1,206,506,64,104,415,1663,415,1663,1280,2112,0,0,416,1664,248,952,,,,,,,,
pattern_00057,2,0,2,1,118,20,448,464,1103,299,1103,299,1280,2112,0,0,1104,300,192,162,,,,,,,,
pattern_00058,2,0,3,1,192,68,24,312,707,853,707,853,1280,2112,0,0,708,854,372,594,,,,,,,,
pattern_00059,2,0,0,1,478,192,360,96,1091,1015,1091,1015,1280,2112,0,0,1092,1016,636,346,,,,,,,,
pattern_00060,2,0,1,1,409,207,560,448,1223,919,1223,919,1280,2112,0,0,1224,920,216,304,,,,,,,,
pattern_00061,2,0,2,1,45,77,224,512,1195,187,1195,187,1280,2112,0,0,1196,188,460,66,,,,,,,,
pattern_00062,2,0,3,1,113,51,32,192,655,247,655,247,1280,2112,0,0,656,248,432,84,,,,,,,,
pattern_00063,2,0,0,1,207,29,232,184,595,437,595,437,1280,2112,0,0,596,438,180,202,,,,,,,,
pattern_00064,2,0,1,1,27,185,256,136,567,381,567,381,1280,2112,0,0,568,382,176,170,,,,,,,,
pattern_00065,2,0,2,1,83,321,152,136,319,763,319,763,1280,2112,0,0,320,764,32,360,,,,,,,,
pattern_00066,2,0,3,1,231,311,128,104,427,1265,427,1265,1280,2112,0,0,428,1266,196,724,,,,,,,,
pattern_00067,2,0,0,1,423,253,232,40,879,1057,879,1057,1280,2112,0,0,880,1058,608,382,,,,,,,,
pattern_00068,2,0,1,1,43,17,120,56,623,287,623,287,1280,2112,0,0,624,288,448,228,,,,,,,,
pattern_00069,2,0,2,1,603,535,80,88,195,1525,195,1525,1280,2112,0,0,196,1526,28,388,,,,,,,,
pattern_00070,2,0,3,1,41,27,200,104,439,191,439,191,1280,2112,0,0,440,192,136,124,,,,,,,,
pattern_00071,2,0,0,1,211,167,440,112,1035,1529,1035,1529,1280,2112,0,0,1036,1530,484,1152,,,,,,,,
pattern_00072,2,0,1,1,687,483,208,168,1131,1401,1131,1401,1280,2112,0,0,1132,1402,756,232,,,,,,,,
pattern_00073,2,0,2,1,421,413,112,56,687,1761,687,1761,1280,2112,0,0,688,1762,520,928,,,,,,,,
pattern_00074,2,0,3,1,49,315,16,16,535,667,535,667,1280,2112,0,0,536,668,504,304,,,,,,,,
pattern_00075,2,0,0,1,569,195,232,48,1247,1427,1247,1427,1280,2112,0,0,1248,1428,968,664,,,,,,,,
pattern_00076,2,0,1,1,37,443,192,192,475,1283,475,1283,1280,2112,0,0,476,1284,92,804,,,,,,,,
pattern_00077,2,0,2,1,731,713,240,88,955,1831,955,1831,1280,2112,0,0,956,1832,628,388,,,,,,,,
pattern_00078,2,0,3,1,485,467,208,128,699,1789,699,1789,1280,2112,0,0,700,1790,364,838,,,,,,,,
pattern_00079,2,0,0,1,143,127,88,96,511,579,511,579,1280,2112,0,0,512,580,328,310,,,,,,,,
pattern_00080,2,0,1,1,97,53,120,96,383,307,383,307,1280,2112,0,0,384,308,168,158,,,,,,,,
pattern_00081,2,0,2,1,898,324,440,544,1279,2111,1279,2111,1280,2112,0,0,1280,2112,296,890,,,,,,,,
pattern_00082,2,0,3,1,170,236,264,576,1279,2111,1279,2111,1280,2112,0,0,1280,2112,440,1706,,,,,,,,
pattern_00083,2,0,0,1,442,548,424,120,1279,2111,1279,2111,1280,2112,0,0,1280,2112,736,1122,,,,,,,,
pattern_00084,2,0,1,1,418,430,360,296,1279,2111,1279,2111,1280,2112,0,0,1280,2112,624,1264,,,,,,,,
pattern_00085,2,0,2,1,1022,824,632,552,1279,2111,1279,2111,1280,2112,0,0,1280,2112,96,266,,,,,,,,
pattern_00086,2,0,3,1,760,430,456,264,1279,2111,1279,2111,1280,2112,0,0,1280,2112,560,922,,,,,,,,
pattern_00087,2,0,0,1,1014,292,256,200,1279,2111,1279,2111,1280,2112,0,0,1280,2112,824,806,,,,,,,,
pattern_00088,2,0,1,1,40,662,352,616,1279,2111,1279,2111,1280,2112,0,0,1280,2112,312,1410,,,,,,,,
pattern_00089,2,0,2,1,1020,316,400,200,1279,2111,1279,2111,1280,2112,0,0,1280,2112,680,776,,,,,,,,
pattern_00090,2,0,3,1,954,78,208,384,1279,2111,1279,2111,1280,2112,0,0,1280,2112,688,1080,,,,,,,,
pattern_00091,2,0,0,1,174,340,64,320,1279,2111,1279,2111,1280,2112,0,0,1280,2112,896,1598,,,,,,,,
pattern_00092,2,0,1,1,1026,304,176,288,1279,2111,1279,2111,1280,2112,0,0,1280,2112,816,782,,,,,,,,
pattern_00093,2,0,2,1,482,802,368,304,1279,2111,1279,2111,1280,2112,0,0,1280,2112,608,828,,,,,,,,
pattern_00094,2,0,3,1,96,704,160,456,1279,2111,1279,2111,1280,2112,0,0,1280,2112,664,1312,,,,,,,,
pattern_00095,2,0,0,1,440,634,344,488,1279,2111,1279,2111,1280,2112,0,0,1280,2112,448,1038,,,,,,,,
pattern_00096,2,0,1,1,752,508,144,296,1279,2111,1279,2111,1280,2112,0,0,1280,2112,840,852,,,,,,,,
pattern_00097,2,0,2,1,468,68,40,584,1279,2111,1279,2111,1280,2112,0,0,1280,2112,656,1576,,,,,,,,
pattern_00098,2,0,3,1,218,666,416,424,1279,2111,1279,2111,1280,2112,0,0,1280,2112,440,1228,,,,,,,,
pattern_00099,2,0,0,1,776,262,504,592,1279,2111,1279,2111,1280,2112,0,0,1280,2112,184,1074,,,,,,,,
pattern_00100,2,0,1,1,684,558,64,264,1279,2111,1279,2111,1280,2112,0,0,1280,2112,952,870,,,,,,,,
